src,dst,pt1_lat,pt1_lon,pt2_lat,pt2_lon,dist,time,bat
4,41,39.058754,-95.667854,39.149026,-94.617479,106740.0,4408.0,
4,42,39.058754,-95.667854,36.113892,-95.889587,367920.0,16850.0,
4,43,39.058754,-95.667854,39.13353,-94.523119,109384.0,4633.0,
4,44,39.058754,-95.667854,36.535661,-97.33916,346319.0,13270.0,
4,45,39.058754,-95.667854,35.486391,-95.148721,471341.0,20647.0,
4,46,39.058754,-95.667854,35.201617,-91.732791,801581.0,32090.0,
4,47,39.058754,-95.667854,35.150538,-97.479381,505736.0,19647.0,
4,48,39.058754,-95.667854,36.167392,-94.119169,460840.0,19037.0,
4,49,39.058754,-95.667854,41.235744,-95.88063,261568.0,11364.0,
4,50,39.058754,-95.667854,35.626543,-97.496058,455110.0,17622.0,
4,51,39.058754,-95.667854,36.161696,-95.829403,364977.0,16712.0,
4,52,39.058754,-95.667854,39.091195,-94.682103,94678.0,3819.0,
4,53,39.058754,-95.667854,35.840761,-98.419831,515099.0,20482.0,
4,54,39.058754,-95.667854,35.392817,-97.422948,477893.0,18609.0,
4,55,39.058754,-95.667854,35.478088,-97.741089,492274.0,18980.0,
4,56,39.058754,-95.667854,35.25655,-96.671004,556464.0,21558.0,
4,57,39.058754,-95.667854,35.507948,-97.564657,470321.0,18090.0,
4,58,39.058754,-95.667854,35.462338,-97.654087,483463.0,18654.0,
4,59,39.058754,-95.667854,35.87844,-97.392471,420496.0,16045.0,
4,60,39.058754,-95.667854,41.04622,-95.915192,237501.0,10433.0,
4,61,39.058754,-95.667854,37.648431,-98.094183,291494.0,11743.0,
4,62,39.058754,-95.667854,42.47014,-92.44708,580964.0,24803.0,
4,63,39.058754,-95.667854,36.081743,-96.054325,364756.0,16988.0,
4,64,39.058754,-95.667854,36.751521,-96.000152,288568.0,13684.0,
4,65,39.058754,-95.667854,36.221004,-95.83666,356086.0,16302.0,
4,66,39.058754,-95.667854,40.31694,-94.87345,183207.0,8383.0,
5,0,32.76662,-96.807086,32.89683,-96.68401,21272.0,1488.0,
5,1,32.76662,-96.807086,30.213718,-97.738941,318325.0,12687.0,
5,2,32.76662,-96.807086,36.093705,-95.863764,419575.0,17615.0,
5,3,32.76662,-96.807086,36.144924,-97.086989,431569.0,17322.0,
5,4,32.76662,-96.807086,34.773291,-96.697633,258636.0,11016.0,
5,5,32.76662,-96.807086,32.527872,-93.714249,306376.0,12263.0,
5,6,32.76662,-96.807086,35.35468,-94.437379,450488.0,18752.0,
5,7,32.76662,-96.807086,35.463717,-97.619498,337904.0,13567.0,
5,8,32.76662,-96.807086,35.494079,-97.511596,331846.0,13196.0,
5,9,32.76662,-96.807086,36.264897,-95.854698,438631.0,18482.0,
5,10,32.76662,-96.807086,32.469998,-93.672804,310922.0,12536.0,
5,11,32.76662,-96.807086,32.80764,-96.896592,12574.0,776.0,
5,12,32.76662,-96.807086,35.382404,-92.390824,586396.0,23146.0,
5,13,32.76662,-96.807086,35.924917,-95.000686,426584.0,18214.0,
5,14,32.76662,-96.807086,32.029056,-93.713243,341277.0,14091.0,
5,15,32.76662,-96.807086,31.34545,-92.51807,480420.0,18801.0,
5,16,32.76662,-96.807086,35.853211,-94.989243,416252.0,17582.0,
5,17,32.76662,-96.807086,30.181429,-91.993631,635458.0,24908.0,
5,18,32.76662,-96.807086,35.434767,-97.424626,330234.0,13228.0,
5,19,32.76662,-96.807086,36.106651,-97.051781,426225.0,17144.0,
5,20,32.76662,-96.807086,35.539229,-98.659654,435930.0,17230.0,
5,21,32.76662,-96.807086,35.246922,-97.461247,306694.0,12174.0,
5,22,32.76662,-96.807086,30.337826,-95.412461,323240.0,12738.0,
5,23,32.76662,-96.807086,35.464849,-97.584064,336782.0,13514.0,
5,24,32.76662,-96.807086,34.713769,-98.401654,322825.0,12889.0,
5,25,32.76662,-96.807086,35.457897,-97.688507,345370.0,13837.0,
5,26,32.76662,-96.807086,33.73573,-97.14484,125860.0,5195.0,
5,27,32.76662,-96.807086,30.437821,-95.498724,306360.0,11903.0,
5,28,32.76662,-96.807086,36.127685,-95.995789,412364.0,17376.0,
5,29,32.76662,-96.807086,36.434113,-99.427596,555993.0,22794.0,
5,30,32.76662,-96.807086,35.40817,-99.379767,451781.0,19346.0,
5,31,32.76662,-96.807086,29.618948,-95.190362,408650.0,16616.0,
5,32,32.76662,-96.807086,30.725159,-96.425728,270592.0,10722.0,
5,33,32.76662,-96.807086,29.784231,-95.800795,410301.0,16382.0,
5,34,32.76662,-96.807086,29.533464,-95.776052,432291.0,17426.0,
5,35,32.76662,-96.807086,35.608029,-97.530713,347066.0,13877.0,
